# MJD residual_us
5.385916091898425657e+04 1.737772721083626903e+00
5.388907941316035431e+04 1.171211075687224712e+00
5.388907941316138749e+04 -3.812848951047967394e-01
5.388907941316995857e+04 5.584596093256616323e-01
5.388907941317323275e+04 4.087591263576664247e+00
5.388907941317862424e+04 4.438627780790654676e+00
5.388907941318138910e+04 5.136266557318006631e-01
5.388907941318726807e+04 -6.078858623573314413e-01
5.388907941318966186e+04 3.854722432602554760e-01
5.388907941319607198e+04 1.831980632514716323e+00
5.388907941319799284e+04 1.731957834539927521e-01
5.388907941320489044e+04 -1.133424837770468097e+00
5.388907941320645477e+04 4.488212614258519473e+00
5.389006538433861715e+04 1.883376518545869738e+00
5.389006538434584218e+04 1.703554020922505741e+00
5.389006538434696995e+04 -1.693351410748680674e+00
5.389006538434953836e+04 -2.288254769714574144e-01
5.389006538435466064e+04 -2.125892997975620258e+00
5.389006538436109986e+04 2.629338306418637083e-01
5.389006538436303526e+04 -1.965181321584668961e+00
5.389006538437322160e+04 -2.693518822490406528e+00
5.389006538438596181e+04 -2.676740898804833790e+00
5.389007684525165678e+04 9.122627201642340422e-01
5.389007684525886725e+04 -9.201954407708753947e-02
5.389007684526003868e+04 -3.284600017209830525e-01
5.389007684526258527e+04 1.319327443757390035e-02
5.389007684526775120e+04 1.339535918835213169e+00
5.389007684527413949e+04 -1.764170627088778309e-01
5.389007684527609672e+04 -6.895253958430943575e-01
5.389007684528630489e+04 4.993742882857603038e-01
5.389007684529908147e+04 3.644696949453689161e+00
5.391798969058250077e+04 8.235741356279154601e+00
5.391798969058345392e+04 -9.086574763479474681e-01
5.391798969059205410e+04 3.019726780616923900e+00
5.391798969059534284e+04 7.537240840227740435e+00
5.391798969060070522e+04 5.165114458970672118e+00
5.391798969060354284e+04 7.702489184543473755e+00
5.391798969060939271e+04 3.773390423901888724e+00
5.391798969061177922e+04 4.376414310092613391e+00
5.391798969061820389e+04 7.058927975296758639e+00
5.391798969062011747e+04 4.651980300397414503e+00
5.391798969062700780e+04 3.259739756646668152e+00
5.391798969062849210e+04 1.629405927467470150e+00
5.391800219485792331e+04 2.113167958993160678e+00
5.391800219485891284e+04 -3.464299392306156022e+00
5.391800219486757851e+04 6.300968701473503408e+00
5.391800219487081631e+04 6.405828572389838271e+00
5.391800219487620052e+04 5.820202420303200341e+00
5.391800219487900176e+04 4.968582905484123735e+00
5.391800219488485163e+04 1.784220796407577803e+00
5.391800219488725998e+04 4.335687600519922746e+00
5.391800219489362644e+04 1.389255215789208409e+00
5.391800219489552546e+04 -2.159891149923055753e+00
5.391800219490248855e+04 2.165430029129690404e+00
5.391800219490407471e+04 9.504544933519039063e+00
5.391898778032884729e+04 -2.279098081544880028e+00
5.391898778033617418e+04 4.802141254899275680e+00
5.391898778033723647e+04 -1.461929695812396623e+00
5.391898778033983399e+04 8.066194777559908546e-01
5.391898778034493444e+04 -1.473473664854253018e+00
5.391898778035136638e+04 -1.279541871733491654e+00
5.391898778035332361e+04 2.098394705730289786e-02
5.391898778036352451e+04 -9.511800856540206794e-01
5.391898778037625743e+04 -2.103166615990503363e+00
5.391900132511400443e+04 -3.906840758836814143e+00
5.391900132512130949e+04 1.671771520042775849e+00
5.391900132512237906e+04 -4.146543829657464819e+00
5.391900132512494747e+04 -4.316320233418458940e+00
5.391900132513012068e+04 -3.861195875873155714e-01
5.391900132513650169e+04 -4.135447501473309195e+00
5.391900132513849530e+04 -6.999244373134850816e-01
5.391900132514868892e+04 -1.712548316778523372e+00
5.391900132516144367e+04 -1.532433130900251461e+00
5.397982125313759752e+04 7.946229631730963305e+00
5.397982125313871802e+04 1.264255899713727871e+01
5.397982125314720179e+04 6.654613587676897701e+00
5.397982125315042504e+04 5.054779596133417208e+00
5.397982125315581652e+04 5.908671749171346299e+00
5.397982125315861049e+04 3.885860189482061244e+00
5.397982125316446763e+04 1.671923200506663321e+00
5.397982125316688325e+04 4.196454076908552544e+00
5.397982125317322061e+04 -3.810180322977192446e-01
5.397982125317522878e+04 4.815765203550364859e+00
5.397982125318205362e+04 -1.881320800824983319e+00
5.397982125318366889e+04 7.170709062704419878e+00
5.397983271555409010e+04 6.271820394988624869e+00
5.397983271555519605e+04 1.055759422605060571e+01
5.397983271556370164e+04 6.328360878708614301e+00
5.397983271556688851e+04 1.392999903763161962e+00
5.397983271557230182e+04 4.253786540607583433e+00
5.397983271557512489e+04 4.699051458380528956e+00
5.397983271558099659e+04 3.481614669535828099e+00
